City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Pevek,69.7008,170.3133,37.44,76,19,2.51,RU,1654640204
Vostok,46.4856,135.8833,55.24,73,100,2.64,RU,1654640193
Lively,46.4334,-81.1498,61.02,71,100,8.37,CA,1654640205
Bluff,-46.6,168.3333,49.8,83,30,12.55,NZ,1654640205
Rikitea,-23.1203,-134.9692,72.57,54,2,12.5,PF,1654640205
Saint-Philippe,-21.3585,55.7679,69.39,84,56,9.37,RE,1654640206
Tiarei,-17.5333,-149.3333,84.22,77,17,10.49,PF,1654640206
Paamiut,61.994,-49.6678,36.34,89,39,4.88,GL,1654640206
Hobart,-42.8794,147.3294,41.25,83,40,4.61,AU,1654640207
Lorengau,-2.0226,147.2712,81.99,78,96,9.13,PG,1654640207
Port Hedland,-20.3167,118.5667,59.05,72,0,5.75,AU,1654640154
Fortuna,40.5982,-124.1573,68.94,71,0,14.97,US,1654640112
Faya,18.3851,42.4509,68.11,23,93,2.42,SA,1654640207
Dvinskoy Bereznik,62.8551,42.7072,43.92,82,4,3.49,RU,1654640208
Hamadan,34.7992,48.5146,69.24,21,74,6.8,IR,1654640208
Sarāhan,31.5167,77.8,61.36,37,0,6.04,IN,1654640208
Tondela,40.5167,-8.0833,61.59,86,100,1.77,PT,1654640209
Am Timan,11.0297,20.2827,87.75,34,68,5.91,TD,1654640209
Conceição do Araguaia,-8.2578,-49.2647,80.2,53,39,3.22,BR,1654640209
Lompoc,34.6391,-120.4579,80.74,67,0,25.01,US,1654640030
Souillac,-20.5167,57.5167,70.18,88,40,6.91,MU,1654640210
Cabo San Lucas,22.8909,-109.9124,87.62,54,0,3.44,MX,1654639966
Olafsvik,64.8945,-23.7142,50.7,81,100,3.65,IS,1654640210
Midyat,37.4247,41.3393,70.88,43,0,5.26,TR,1654640210
Khovd,48.0056,91.6419,48.22,68,31,2.98,MN,1654640211
Hong Kong,22.2855,114.1577,81.32,91,100,11.01,HK,1654640101
Port Lincoln,-34.7333,135.8667,54.7,69,100,6.13,AU,1654640211
Tegul'det,57.3064,88.1667,41.9,98,100,6.91,RU,1654640211
Longyearbyen,78.2186,15.6401,42.64,70,40,14.97,SJ,1654640212
Kavaratti,10.5669,72.642,82.94,73,100,13.04,IN,1654640212
Savannah Bight,16.45,-85.85,82.83,85,81,27.96,HN,1654640212
Waterloo,43.4668,-80.5164,60.78,89,59,7.0,CA,1654640052
Ancud,-41.8697,-73.8203,50.23,87,73,13.35,CL,1654640213
Puerto del Rosario,28.5004,-13.8627,69.55,83,0,13.8,ES,1654640213
Steinbach am Taunus,50.1667,8.5667,61.61,94,75,9.22,DE,1654640213
Constitución,-35.3333,-72.4167,54.14,85,3,5.46,CL,1654640001
Mildura,-34.2,142.15,42.08,93,34,8.28,AU,1654640214
Mombetsu,44.3525,143.3525,46.92,75,51,2.19,JP,1654640214
Pangnirtung,66.1451,-65.7125,42.8,81,40,9.22,CA,1654640214
Ankang,32.68,109.0172,71.65,78,100,0.31,CN,1654640215
Flin Flon,54.7682,-101.865,70.34,23,60,8.39,CA,1654639972
Codrington,-38.2667,141.9667,50.49,74,100,12.93,AU,1654640215
Castro,-24.7911,-50.0119,57.2,98,92,1.01,BR,1654640216
Bayan,46.0833,127.4,61.48,68,2,2.3,CN,1654640216
Portales,34.1862,-103.3344,90.34,43,19,8.72,US,1654640216
Isangel,-19.55,169.2667,73.51,94,75,2.3,VU,1654640216
Vaini,-21.2,-175.2,73.56,83,75,4.61,TO,1654640217
Bilibino,68.0546,166.4372,46.72,59,75,7.38,RU,1654640217
Tilichiki,60.4667,166.1,44.87,74,100,12.55,RU,1654640217
Killybegs,54.6333,-8.45,54.77,91,100,14.07,IE,1654640218
Ahipara,-35.1667,173.1667,60.96,82,68,5.86,NZ,1654640218
Aksarka,66.5606,67.7975,52.86,49,9,7.07,RU,1654640218
Broome,42.2506,-75.833,66.7,93,100,13.8,US,1654640219
Atuona,-9.8,-139.0333,78.03,70,7,13.69,PF,1654640219
San Quintín,30.4833,-115.95,68.86,68,2,12.73,MX,1654640219
Meïganga,6.5167,14.3,64.76,92,74,2.17,CM,1654640220
Batagay-Alyta,67.8006,130.4114,65.53,28,100,0.92,RU,1654639938
Torbay,47.6666,-52.7314,47.28,81,40,14.97,CA,1654640109
Coquimbo,-29.9533,-71.3436,56.93,88,75,10.36,CL,1654640111
Sokoni,-6.4333,39.55,79.41,76,13,19.73,TZ,1654640220
Mehamn,71.0357,27.8492,44.51,92,100,17.96,NO,1654640221
San Jose,37.3394,-121.895,89.91,44,75,16.11,US,1654640054
Narsaq,60.9167,-46.05,55.62,62,24,5.99,GL,1654640221
Tuktoyaktuk,69.4541,-133.0374,35.6,69,100,13.8,CA,1654640221
Lumphat,13.4878,106.9816,73.08,98,100,0.78,KH,1654640222
La Ronge,55.1001,-105.2842,63.0,37,88,8.81,CA,1654639978
Qaanaaq,77.484,-69.3632,30.34,91,70,4.09,GL,1654640222
Tuatapere,-46.1333,167.6833,48.45,86,50,0.89,NZ,1654640222
Agulu,6.11,7.0724,72.68,95,96,3.71,NG,1654640223
Lebu,-37.6167,-73.65,53.08,92,39,1.92,CL,1654640223
Upata,8.0086,-62.3989,75.2,91,35,5.39,VE,1654640223
Kangaatsiaq,68.3065,-53.4641,35.22,67,23,11.65,GL,1654640224
Saskylakh,71.9167,114.0833,45.99,73,28,10.2,RU,1654639935
Riyadh,24.6877,46.7219,91.54,7,0,6.76,SA,1654640128
Flinders,-34.5833,150.8552,50.38,64,1,11.01,AU,1654640224
Lagoa,39.05,-27.9833,64.51,94,100,17.02,PT,1654640225
San Rafael,-34.6177,-68.3301,60.51,23,0,11.86,AR,1654640225
Buala,-8.145,159.5921,82.35,78,77,11.43,SB,1654640225
Barrow,71.2906,-156.7887,28.42,80,100,13.8,US,1654640226
Sisimiut,66.9395,-53.6735,42.46,51,27,9.6,GL,1654640226
Ribeira Grande,38.5167,-28.7,65.7,95,99,11.52,PT,1654640226
Kasongo,-4.45,26.6667,70.43,63,94,3.47,CD,1654640169
Talnakh,69.4865,88.3972,34.21,97,100,2.53,RU,1654640227
Shiloh,38.5614,-89.8973,86.99,52,40,0.0,US,1654640227
Caluquembe,-13.7833,14.6833,51.67,48,29,1.9,AO,1654640228
Port Blair,11.6667,92.75,81.36,79,100,19.39,IN,1654640228
Vardø,70.3705,31.1107,42.78,87,100,8.05,NO,1654640229
Kirakira,-10.4544,161.9205,82.47,77,69,9.28,SB,1654640229
Mabaruma,8.2,-59.7833,75.58,92,100,5.35,GY,1654640230
Tautira,-17.7333,-149.15,78.35,78,30,10.92,PF,1654640180
Tsumeb,-19.2333,17.7167,54.18,42,0,10.04,NA,1654640230
Saint George,37.1041,-113.5841,102.79,13,0,5.99,US,1654640045
Husavik,66.0449,-17.3389,45.95,87,97,3.15,IS,1654640231
Carnarvon,-24.8667,113.6333,71.71,70,100,20.4,AU,1654640231
New Norfolk,-42.7826,147.0587,40.91,85,85,3.49,AU,1654640232
Hay River,60.8156,-115.7999,60.53,47,24,7.72,CA,1654639972
Prince Rupert,54.3161,-130.3201,62.94,56,99,4.18,CA,1654639990
Pisco,-13.7,-76.2167,64.45,82,100,10.36,PE,1654640232
Havøysund,70.9963,24.6622,44.83,85,100,30.4,NO,1654640233
Kaitangata,-46.2817,169.8464,46.81,79,100,6.26,NZ,1654640233
Merauke,-8.4667,140.3333,79.59,83,26,9.04,ID,1654640233
Kamina,-8.7386,24.9906,59.74,58,4,3.67,CD,1654640234
Bethel,41.3712,-73.414,71.49,75,100,3.0,US,1654640000
Bengkulu,-3.8004,102.2655,74.39,91,77,3.24,ID,1654640234
Hegang,47.4,130.3667,63.05,54,5,2.86,CN,1654640235
Hualmay,-11.0964,-77.6139,66.74,77,8,10.0,PE,1654640235
San Matías,-16.3667,-58.4,85.06,43,95,2.26,BO,1654640235
Nabire,-3.3667,135.4833,75.22,91,58,3.33,ID,1654640236
Talcahuano,-36.7167,-73.1167,53.28,100,100,4.61,CL,1654640236
Naze,28.3667,129.4833,70.72,79,100,1.61,JP,1654640236
Bac Lieu,9.285,105.7244,79.34,85,94,6.6,VN,1654639963
Half Moon Bay,37.4636,-122.4286,83.88,65,40,25.32,US,1654640025
Nanortalik,60.1432,-45.2371,41.14,83,97,4.63,GL,1654640237
Zhangjiakou,40.81,114.8794,56.17,82,4,4.27,CN,1654640237
Krasnosel'kup,65.7,82.4667,45.91,77,100,7.99,RU,1654640237
Anloga,5.7947,0.8973,81.23,76,50,15.93,GH,1654640238
Cirò Marina,39.3732,17.126,73.51,71,33,6.11,IT,1654640238
Korla,41.7597,86.1469,71.4,33,73,9.53,CN,1654640238
Smyrna,33.884,-84.5144,83.07,75,100,5.75,US,1654640217
Samarai,-10.6167,150.6667,82.47,76,91,9.4,PG,1654640239
Giehun,7.8833,-11.05,72.55,95,76,1.5,SL,1654640239
Aswān,24.0934,32.907,88.05,21,0,13.49,EG,1654640239
Ishinomaki,38.4167,141.3,53.6,91,100,9.01,JP,1654640075
George,-33.963,22.4617,63.95,42,0,6.91,ZA,1654640240
Saint-Pierre,-21.3393,55.4781,69.91,73,75,4.61,RE,1654640240
Kazachinskoye,57.6953,93.2761,41.14,86,91,5.23,RU,1654640240
Rudnyy,52.9594,63.1206,52.03,81,0,10.6,KZ,1654640241
Waipawa,-41.4122,175.5153,55.58,79,14,14.03,NZ,1654639944
Hithadhoo,-0.6,73.0833,82.65,69,100,5.5,MV,1654640241
Yangi Marg`ilon,40.4272,71.7189,74.12,38,0,9.22,UZ,1654640241
Mahébourg,-20.4081,57.7,71.26,88,40,6.91,MU,1654640242
Empório,40.4833,21.55,61.16,95,99,1.79,GR,1654640242
Novy Urengoy,66.0833,76.6333,50.43,58,41,13.35,RU,1654640242
Septèmes-les-Vallons,43.4,5.3667,72.77,46,0,12.66,FR,1654640243
Bandarbeyla,9.4942,50.8122,84.56,60,86,18.9,SO,1654640243
Te Anau,-45.4167,167.7167,47.73,88,72,3.98,NZ,1654640243
Vila Velha,-20.3297,-40.2925,73.94,62,0,4.61,BR,1654640244
Namtsy,62.7161,129.6658,64.81,58,50,5.77,RU,1654640244
Eirunepé,-6.6603,-69.8736,76.46,93,95,2.1,BR,1654640244
Ranfurly,-45.1333,170.1,45.1,82,100,4.36,NZ,1654640245
Shingū,33.7333,135.9833,66.18,64,55,2.64,JP,1654640245
Plouzané,48.3833,-4.6167,59.32,100,100,13.8,FR,1654640245
Ilo,-17.6394,-71.3375,62.8,84,70,4.18,PE,1654640246
Upernavik,72.7868,-56.1549,33.6,74,72,4.99,GL,1654640246
Channel-Port aux Basques,47.5702,-59.1367,50.65,53,0,11.95,CA,1654639975
Nome,64.5011,-165.4064,73.17,37,0,12.66,US,1654640246
Qaqortoq,60.7167,-46.0333,43.25,74,25,5.68,GL,1654640247
Goderich,43.7501,-81.7165,57.52,77,98,6.91,CA,1654640247
Oranjemund,-28.55,16.4333,66.78,37,0,8.32,NA,1654640023
Olinda,-8.0089,-34.8553,74.93,100,20,0.0,BR,1654640247
Pasco,28.292,-82.4165,93.45,62,21,5.01,US,1654640248
Aklavik,68.2191,-135.0107,42.57,64,100,11.54,CA,1654640248
Chokurdakh,70.6333,147.9167,42.01,53,9,12.17,RU,1654640249
Bytów,54.1706,17.4919,59.22,76,100,0.83,PL,1654640249
Goiana,-7.5606,-35.0025,75.72,93,61,2.82,BR,1654640196
Beringovskiy,63.05,179.3167,38.59,76,71,7.07,RU,1654640249
Yulara,-25.2406,130.9889,44.13,66,1,8.88,AU,1654640250
Kisangani,0.5167,25.2,72.99,71,93,1.45,CD,1654640250
Sorrento,40.626,14.3744,72.37,93,2,4.76,IT,1654640246
Mandalgovi,45.7625,106.2708,46.06,82,97,10.13,MN,1654640250
Ixtapa,20.7,-105.2,83.23,69,20,12.66,MX,1654640251
Ponta do Sol,32.6667,-17.1,74.03,83,0,2.39,PT,1654640251
Esperance,-33.8667,121.9,49.68,74,56,8.16,AU,1654640251
Mossamedes,-15.1961,12.1522,72.43,56,4,5.21,AO,1654640252
Chaves,33.3834,-104.4505,97.21,24,0,8.05,US,1654640252
Qui Nhon,13.7667,109.2333,79.66,78,100,5.01,VN,1654640252
Dharmadam,11.7833,75.4333,77.13,89,100,4.43,IN,1654640253
Geraldton,-28.7667,114.6,66.61,37,40,31.07,AU,1654640253
Udachny,66.4167,112.4,53.46,66,52,11.54,RU,1654640253
Araouane,18.9048,-3.5265,92.53,22,31,7.0,ML,1654640254
Imbituba,-28.24,-48.6703,62.85,99,100,6.46,BR,1654640162
Warrnambool,-38.3833,142.4833,47.8,72,100,14.56,AU,1654640254
Verkhnyaya Balkariya,43.1279,43.4573,54.52,90,57,2.21,RU,1654640254
Quilalí,13.567,-86.026,83.14,71,86,3.09,NI,1654640255
Boavita,6.3303,-72.5851,60.3,93,79,2.42,CO,1654640255
Tual,-5.6667,132.75,82.53,72,45,5.06,ID,1654640255
Rockport,28.0206,-97.0544,89.65,76,0,20.71,US,1654640153
Lata,40.1629,-8.3327,58.64,88,99,1.81,PT,1654640256
Moshupa,-24.7782,25.4155,53.74,50,0,1.88,BW,1654640256
Helena,46.5927,-112.0361,66.81,37,100,14.97,US,1654640147
Russell,32.3502,-85.1999,88.88,58,75,0.0,US,1654640124
Sfântu Gheorghe,45.8667,25.7833,59.27,86,18,3.49,RO,1654640256
Mgandu,-5.95,34.1333,56.16,83,71,6.38,TZ,1654640257
Pacific Grove,36.6177,-121.9166,80.55,76,20,9.22,US,1654640257
Clyde River,70.4692,-68.5914,43.03,75,75,4.61,CA,1654640257
Lexington-Fayette,38.0498,-84.4585,84.15,64,20,6.91,US,1654640209
Rundu,-17.9333,19.7667,50.22,49,0,6.71,NA,1654640258
Honiara,-9.4333,159.95,82.72,73,99,9.48,SB,1654640258
Asău,46.4333,26.4,58.28,99,57,3.47,RO,1654640258
São José da Coroa Grande,-8.8978,-35.1478,75.22,87,32,4.99,BR,1654640259
‘Āhuimanu,21.4447,-157.8378,85.75,58,75,18.41,US,1654640259
Ippy,6.2679,21.2247,72.55,85,98,4.0,CF,1654640259
Port Hardy,50.6996,-127.4199,64.58,59,75,3.44,CA,1654640260
Airai,-8.9266,125.4092,58.64,86,100,3.33,TL,1654640260
Bud,39.447,-86.1758,81.41,77,95,8.41,US,1654640260
Biltine,14.5333,20.9167,90.3,13,5,14.47,TD,1654640261
Lyantonde,-0.4031,31.1572,61.66,88,62,4.09,UG,1654640261
Guiratinga,-16.3494,-53.7583,78.98,47,88,2.64,BR,1654640261
Salalah,17.0151,54.0924,84.29,79,40,6.91,OM,1654640262
Manturovo,58.3353,44.7619,48.29,84,100,11.1,RU,1654640262
Nouadhibou,20.931,-17.0347,71.58,78,42,21.85,MR,1654640262
Acarí,-15.4311,-74.6158,68.11,78,61,4.81,PE,1654640262
Kudahuvadhoo,2.6708,72.8944,81.07,74,100,7.74,MV,1654640263
Launceston,-41.45,147.1667,41.34,90,29,6.91,AU,1654640263
Takapau,-40.0333,176.35,58.73,87,3,3.24,NZ,1654640263
Gondanglegi,-7.7479,112.0132,74.8,94,99,2.57,ID,1654640264
Tezu,27.9167,96.1667,77.27,80,100,2.51,IN,1654640264
Polovinnoye,54.7914,65.9864,57.78,92,26,7.07,RU,1654640264
Akdepe,42.0551,59.3788,84.6,18,97,11.3,TM,1654640265
Yueyang,29.3333,113.0919,75.18,77,66,1.66,CN,1654640265
Oktyabr'skoye,43.0645,44.7417,60.35,93,100,4.47,RU,1654640265
Sola,-13.8833,167.55,81.34,67,85,21.54,VU,1654640266
Badou,7.5833,0.6,73.47,87,27,1.61,TG,1654640266
Tazovsky,67.4667,78.7,41.47,56,98,5.88,RU,1654640266
Maragogi,-9.0122,-35.2225,74.71,88,22,4.72,BR,1654640267
Maryborough,-25.5333,152.7,52.11,70,15,5.14,AU,1654640267
Machalí,-34.1833,-70.6667,54.68,76,0,10.36,CL,1654640212
Abu Samrah,35.3029,37.1841,70.0,66,0,8.23,SY,1654640267
Matamoros,25.5333,-103.25,102.31,13,40,6.91,MX,1654640268
Saint Anthony,45.0205,-93.218,69.66,51,100,9.22,US,1654640268
Inverell,-29.7833,151.1167,42.67,87,7,1.01,AU,1654640268
Dongkan,33.9997,119.8308,63.37,76,18,6.51,CN,1654640268
Arlit,18.7369,7.3853,91.06,11,77,11.27,NE,1654640269
Betanzos,43.2804,-8.2147,66.09,83,75,13.8,ES,1654640269
Dandong,40.1292,124.3947,60.66,75,96,1.61,CN,1654640269
Gryazovets,58.88,40.2525,43.36,86,9,6.08,RU,1654640270
Egvekinot,66.3167,-179.1667,43.05,45,74,4.68,RU,1654640270
Kiama,-34.6833,150.8667,51.01,64,1,18.01,AU,1654640270
Abhā,18.2164,42.5053,67.82,55,0,0.0,SA,1654640271
Pop,40.8736,71.1089,75.69,33,0,3.56,UZ,1654640271
Dolinsk,47.35,142.8,46.06,73,30,3.56,RU,1654640271
Scottsbluff,41.8666,-103.6672,74.79,57,0,10.36,US,1654640272
Leningradskiy,69.3833,178.4167,36.34,74,47,12.01,RU,1654640272
Huanren,41.2647,125.3667,56.95,88,71,1.07,CN,1654640272
Brae,60.3964,-1.353,48.11,75,99,17.29,GB,1654640272
Bam,29.106,58.357,85.84,12,42,4.72,IR,1654640273
Vestmannaeyjar,63.4427,-20.2734,50.07,85,100,21.52,IS,1654640273
Sergeevka,53.88,67.4158,63.86,74,100,6.44,KZ,1654640274
Lubango,-14.9172,13.4925,53.2,44,21,2.95,AO,1654640274
Alofi,-19.0595,-169.9187,78.69,69,40,8.05,NU,1654640274
Namatanai,-3.6667,152.4333,80.6,78,99,5.41,PG,1654640274
Vao,-22.6667,167.4833,75.16,73,100,15.26,NC,1654640275
Carutapera,-1.195,-46.02,74.86,93,93,5.79,BR,1654640275
Cockburn Town,21.4612,-71.1419,84.16,70,40,13.8,TC,1654640275
Acaraú,-2.8856,-40.12,77.22,85,99,8.88,BR,1654640276
Karratha,-20.7377,116.8463,65.07,49,95,15.17,AU,1654640150
Deputatsky,69.3,139.9,47.95,42,13,6.2,RU,1654640276
Pucallpa,-8.3791,-74.5539,80.64,89,75,6.91,PE,1654640276
Xam Nua,20.4197,104.0439,66.51,98,100,2.17,LA,1654640277
East London,-33.0153,27.9116,63.0,59,14,7.16,ZA,1654640277
Ruteng,-8.6136,120.4721,60.28,89,35,1.48,ID,1654640277
Warsaw,52.2298,21.0118,65.97,91,0,5.75,PL,1654640278
Thinadhoo,0.5333,72.9333,82.56,68,100,4.94,MV,1654640278
Kerema,-7.9631,145.7785,79.21,84,45,3.71,PG,1654640278
Saint-Augustin,51.226,-58.6502,62.17,27,1,8.99,CA,1654640262
Durusu,41.3053,28.6767,65.84,87,7,1.99,TR,1654640279
Noumea,-22.2763,166.4572,80.58,99,98,3.06,NC,1654640054
Klaksvík,62.2266,-6.589,45.52,73,100,17.76,FO,1654640279
Taywarah,33.35,64.4167,51.53,24,1,5.66,AF,1654640279
Iskateley,67.6803,53.1512,59.49,53,52,8.14,RU,1654640280
Cayenne,4.9333,-52.3333,81.09,1,75,5.75,GF,1654640183
Maubin,16.7333,95.65,75.88,91,100,8.63,MM,1654640280
Lucea,18.451,-78.1736,85.86,76,88,8.63,JM,1654640281
Petropavlovsk-Kamchatskiy,53.0452,158.6483,45.19,81,75,6.71,RU,1654640281
Northam,51.0333,-4.2167,59.4,94,100,13.94,GB,1654640281
Hearst,49.6835,-83.6665,66.45,68,92,5.99,CA,1654640282
Mae Sai,20.4335,99.8762,73.2,99,100,1.19,TH,1654640282
Dhidhdhoo,6.8833,73.1,82.31,75,97,13.47,MV,1654640282
Ouadda,8.0777,22.4007,73.17,78,96,4.38,CF,1654640282
Ormskirk,53.5668,-2.8818,60.39,89,99,13.53,GB,1654640283
Jacareacanga,-6.2222,-57.7528,73.87,96,19,1.61,BR,1654640283
Kruisfontein,-34.0033,24.7314,61.02,35,0,7.99,ZA,1654640240
Barraute,48.4335,-77.6328,61.07,99,100,2.66,CA,1654640284
Kununurra,-15.7667,128.7333,75.18,50,91,6.91,AU,1654640084
Zhuji,29.7188,120.2423,65.82,90,44,1.48,CN,1654640284
Ulaangom,49.9811,92.0667,49.6,57,35,2.55,MN,1654640284
Forsytheganj,52.6333,29.7333,59.59,83,54,3.44,BY,1654640285
Gilgit,35.9221,74.3087,68.14,68,93,2.21,PK,1654640285
Tommot,58.9564,126.2925,64.69,70,59,2.42,RU,1654640285
Evanston,42.0411,-87.6901,77.52,64,20,9.22,US,1654640244
Woodward,36.4337,-99.3904,88.83,55,0,8.05,US,1654640286
Port Augusta,-32.5,137.7667,52.45,66,73,5.79,AU,1654640286
Kavieng,-2.5744,150.7967,82.42,74,97,9.01,PG,1654640286
Severo-Kuril'sk,50.6789,156.125,45.05,84,96,9.86,RU,1654640287
Acapulco de Juárez,16.8634,-99.8901,84.02,70,75,9.22,MX,1654640151
Ardeşen,41.1911,40.9875,66.83,88,33,2.91,TR,1654640287
Ryōtsu-minato,38.0833,138.4333,60.48,86,100,2.62,JP,1654640287
Comodoro Rivadavia,-45.8667,-67.5,51.66,50,0,16.11,AR,1654640288
Barpeta,26.3167,91.0,77.5,92,100,3.83,IN,1654640288
Banjarmasin,-3.3244,114.591,73.54,96,83,3.22,ID,1654640288
Awjilah,29.1081,21.2869,80.58,46,0,11.18,LY,1654640289
Banda Aceh,5.5577,95.3222,80.44,79,100,5.86,ID,1654640289
Eniwa,42.8779,141.5442,58.64,61,75,13.8,JP,1654640289
Pringsewu,-5.3582,104.9744,72.66,97,95,0.92,ID,1654640290
Arcos,-20.2819,-45.5394,65.46,54,9,5.08,BR,1654640290
Ilulissat,69.2167,-51.1,37.89,61,11,4.25,GL,1654640281
Marabu,4.4148,114.0089,73.54,100,20,0.0,MY,1654640290
Sabang,5.8933,95.3214,82.65,76,100,10.63,ID,1654640228
Nadvoitsy,63.8667,34.3167,51.12,77,28,5.08,RU,1654640291
Caravelas,-17.7125,-39.2481,69.91,86,1,6.4,BR,1654640291
Taoudenni,22.6783,-3.9836,100.49,13,78,6.04,ML,1654640292
Pitangui,-19.6828,-44.8903,65.84,53,18,2.15,BR,1654640292
Dondo,-19.6094,34.7431,71.11,75,93,8.86,MZ,1654640292
Nemuro,43.3236,145.575,45.55,82,100,8.03,JP,1654640293
Visnes,59.3556,5.2242,55.22,94,75,5.75,NO,1654640293
Agüimes,27.9054,-15.4461,69.66,73,20,27.63,ES,1654640293
Anáhuac,27.2333,-100.15,109.2,12,3,22.35,MX,1654640294
Kloulklubed,7.0419,134.2556,79.3,73,45,8.75,PW,1654640294
